Match Week,Home Team,Away Team,Home Score,Away Score
1, Birmingham City, Middlesbrough, 0, 3
1, Burnley, Wolverhampton Wanderers, 1, 2
1, Chelsea, Carlisle United, 0, 2
1, Everton, Derby County, 0, 0
1, Leicester City, Arsenal, 0, 1
1, Luton Town, Liverpool, 1, 2
1, Manchester City, West Ham United, 4, 0
1, Newcastle United, Coventry, 3, 2
1, Sheffield United, Queens Park Rangers, 1, 1
1, Stoke City, Leeds United, 3, 0
1, Tottenham Hotspur, Ipswich Town, 0, 1
2, West Ham United, Luton Town, 2, 0
2, Arsenal, Ipswich Town, 0, 1
2, Birmingham City, Leicester City, 3, 4
2, Everton, Stoke City, 2, 1
2, Middlesbrough, Carlisle United, 0, 2
2, Wolverhampton Wanderers, Liverpool, 0, 0
2, Chelsea, Burnley, 3, 3
2, Derby County, Coventry, 1, 1
2, Leeds United, Queens Park Rangers, 0, 1
2, Manchester City, Tottenham Hotspur, 1, 0
2, Newcastle United, Sheffield United, 2, 2
3, Arsenal, Manchester City, 4, 0
3, Carlisle United, Tottenham Hotspur, 1, 0
3, Coventry, Chelsea, 1, 3
3, Derby County, Sheffield United, 2, 0
3, Ipswich Town, Burnley, 2, 0
3, Leeds United, Birmingham City, 1, 0
3, Liverpool, Leicester City, 2, 1
3, Middlesbrough, Luton Town, 1, 1
3, Queens Park Rangers, Stoke City, 0, 1
3, West Ham United, Everton, 2, 3
3, Wolverhampton Wanderers, Newcastle United, 4, 2
4, Burnley, Chelsea, 1, 2
4, Carlisle United, Middlesbrough, 0, 1
4, Coventry, Derby County, 1, 1
4, Ipswich Town, Arsenal, 3, 0
4, Liverpool, Wolverhampton Wanderers, 2, 0
4, Queens Park Rangers, Leeds United, 1, 1
4, Sheffield United, Newcastle United, 2, 1
4, Leicester City, Birmingham City, 1, 1
4, Luton Town, West Ham United, 0, 0
4, Stoke City, Everton, 1, 1
4, Tottenham Hotspur, Manchester City, 1, 2
5, Birmingham City, Wolverhampton Wanderers, 1, 1
5, Burnley, Coventry, 3, 0
5, Chelsea, Liverpool, 0, 3
5, Everton, Arsenal, 2, 1
5, Leicester City, Carlisle United, 1, 1
5, Luton Town, Queens Park Rangers, 1, 1
5, Manchester City, Leeds United, 2, 1
5, Newcastle United, West Ham United, 2, 0
5, Sheffield United, Ipswich Town, 3, 1
5, Stoke City, Middlesbrough, 1, 1
5, Tottenham Hotspur, Derby County, 2, 0
6, Arsenal, Burnley, 0, 1
6, Carlisle United, Stoke City, 0, 2
6, Coventry, Manchester City, 2, 2
6, Derby County, Newcastle United, 2, 2
6, Ipswich Town, Everton, 1, 0
6, Leeds United, Luton Town, 1, 1
6, Liverpool, Tottenham Hotspur, 5, 2
6, Middlesbrough, Chelsea, 1, 1
6, Queens Park Rangers, Birmingham City, 0, 1
6, West Ham United, Sheffield United, 1, 2
6, Wolverhampton Wanderers, Leicester City, 1, 1
7, Birmingham City, Derby County, 3, 2
7, Burnley, Leeds United, 2, 1
7, Chelsea, Arsenal, 0, 0
7, Everton, Wolverhampton Wanderers, 0, 0
7, Leicester City, Queens Park Rovers, 3, 1
7, Luton Town, Ipswich Town, 1, 4
7, Manchester City, Liverpool, 2, 0
7, Newcastle United, Carlisle, 1, 0
7, Sheffield United, Middlesbrough, 1, 0
7, Stoke City, Coventry, 2, 0
7, Tottenham Hotspur, West Ham United, 2, 1
8, Arsenal, Luton Town, 2, 2
8, Carlisle United, Birmingham City, 1, 0
8, Coventry, Everton, 1, 1
8, Derby County, Burnley, 3, 2
8, Ipswich Town, Chelsea, 2, 0
8, Leeds United, Sheffield United, 5, 1
8, Liverpool, Stoke City, 3, 0
8, Middlesbrough, Manchester City, 3, 0
8, Queens Park Rangers, Newcastle United, 1, 2
8, West Ham United, Leicester City, 6, 2
8, Wolverhampton Wanderers, Tottenham Hotspur, 2, 3
9, Carlisle United, Manchester City, 0, 0
9, Coventry, Luton Town, 2, 1
9, Ipswich Town, Stoke City, 3, 1
9, Liverpool, Burnley, 0, 1
9, Queens Park Rangers, Everton, 2, 2
9, Wolverhampton Wanderers, Sheffield United, 1, 1
9, Derby County, Chelsea, 4, 1
9, West Ham United, Birmingham City, 3, 0
9, Leeds United, Tottenham Hotspur, 2, 1
9, Middlesbrough, Leicester City, 3, 0
9, Newcastle United, Arsenal, 3, 1
10, Birmingham City, Arsenal, 3, 1
10, Burnley, West Ham United, 3, 5
10, Chelsea, Wolverhampton Wanderers, 0, 1
10, Leicester City, Coventry, 0, 1
10, Luton Town, Carlisle United, 3, 1
10, Manchester City, Queens Park Rangers, 1, 0
10, Newcastle United, Ipswich Town, 1, 0
10, Sheffield United, Liverpool, 1, 0
10, Stoke City, Derby County, 1, 1
10, Tottenham Hotspur, Middlesbrough, 1, 2
10, Everton, Leeds United, 3, 2
