Team,Played,Won,Drawn,Lost,Goals Scored,Goals Conceded,Goal Average,Points
Ipswich Town,10,8,0,2,18,6,3.0,16
Newcastle United,10,6,2,2,19,14,1.3571428571428572,14
Manchester City,10,6,2,2,14,11,1.2727272727272727,14
Middlesbrough,10,5,3,2,15,7,2.142857142857143,13
Liverpool,10,6,1,3,17,8,2.125,13
Everton,10,4,5,1,14,11,1.2727272727272727,13
Sheffield United,10,5,3,2,14,14,1.0,13
Derby County,10,3,5,2,16,13,1.2307692307692308,11
Stoke City,10,4,3,3,13,11,1.1818181818181819,11
Wolverhampton Wanderers,10,3,5,2,12,11,1.0909090909090908,11
Carlisle United,10,4,2,4,8,8,1.0,10
West Ham United,10,4,1,5,20,18,1.1111111111111112,9
Burnley,10,4,1,5,17,18,0.9444444444444444,9
Leeds United,10,3,2,5,14,15,0.9333333333333333,8
Birmingham City,10,3,2,5,12,17,0.7058823529411765,8
Coventry City,10,2,4,4,11,17,0.6470588235294118,8
Luton Town,10,1,5,4,11,16,0.6875,7
Leicester City,10,2,3,5,13,20,0.65,7
Chelsea,10,2,3,5,10,18,0.5555555555555556,7
Tottenham Hotspur,10,3,0,7,12,17,0.7058823529411765,6
Arsenal,10,2,2,6,10,15,0.6666666666666666,6
Queens Park Rangers,10,1,4,5,8,13,0.6153846153846154,6
